run_id,model,tool,config,model_params,duration,success,accuracy,precision,recall,f1_score
1,lstm,electric_screwdriver,"{'batch_size': 16, 'epochs': 30, 'learning_rate': 0.0001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.25, 'temperature': 0.5}, 'data_balancing': ['focal_loss'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}, 'focal_loss_gamma': np.float64(2.0)}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",76.16199564933777,True,0.3296,0.1706,0.3483,0.2045
2,lstm,electric_screwdriver,"{'batch_size': 16, 'epochs': 50, 'learning_rate': 0.0001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'mean_teacher', 'labelled_ratio': 0.1, 'alpha': 0.99, 'lambda_consistency': 1.0}, 'data_balancing': ['augment'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",36.80569052696228,True,0.176,0.0251,0.1429,0.0428
5,lstm,electric_screwdriver,"{'batch_size': 16, 'epochs': 30, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'mean_teacher', 'labelled_ratio': 0.1, 'alpha': 0.99, 'lambda_consistency': 1.0}, 'data_balancing': ['augment'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",41.80083250999451,True,0.176,0.0251,0.1429,0.0428
6,lstm,electric_screwdriver,"{'batch_size': 16, 'epochs': 50, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.25, 'temperature': 0.5}, 'data_balancing': ['oversample', 'augment'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",212.17944812774658,True,0.7004,0.6579,0.7234,0.6569
8,lstm,electric_screwdriver,"{'batch_size': 32, 'epochs': 50, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.1, 'temperature': 0.3}, 'data_balancing': ['focal_loss', 'weighted_sampling'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}, 'focal_loss_gamma': np.float64(2.0)}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",65.76196813583374,True,0.1236,0.1899,0.2649,0.1743
9,lstm,electric_screwdriver,"{'batch_size': 16, 'epochs': 30, 'learning_rate': 0.001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.1, 'threshold': 0.8}, 'data_balancing': ['oversample', 'augment'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",71.13698077201843,True,0.6367,0.5438,0.587,0.5105
10,lstm,electric_screwdriver,"{'batch_size': 16, 'epochs': 50, 'learning_rate': 0.001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.1, 'threshold': 0.8}, 'data_balancing': ['resample'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",44.62955975532532,True,0.2285,0.2162,0.2237,0.1725
12,lstm,electric_screwdriver,"{'batch_size': 16, 'epochs': 100, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.1, 'threshold': 0.8}, 'data_balancing': ['resample'], 'l1_lambda': 0.1, 'gradient_clip': 5.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.2}",52.488035440444946,True,0.2659,0.2741,0.2884,0.1922
14,lstm,electric_screwdriver,"{'batch_size': 64, 'epochs': 100, 'learning_rate': 0.001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.25, 'threshold': 0.9}, 'data_balancing': ['oversample', 'augment'], 'l1_lambda': 0.5, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 2, 'dropout': 0.1}",248.17508840560913,True,0.7041,0.6775,0.741,0.6596
16,lstm,electric_screwdriver,"{'batch_size': 16, 'epochs': 75, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.1, 'temperature': 0.3}, 'data_balancing': ['augment'], 'l1_lambda': 0.5, 'gradient_clip': 5.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.1}",103.65877318382263,True,0.6891,0.4428,0.5498,0.4665
17,lstm,electric_screwdriver,"{'batch_size': 16, 'epochs': 100, 'learning_rate': 0.001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.1, 'threshold': 0.8}, 'data_balancing': ['focal_loss'], 'l1_lambda': 0.1, 'gradient_clip': 1.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}, 'focal_loss_gamma': np.float64(2.5)}","{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.2}",61.207098960876465,True,0.4831,0.4532,0.5401,0.402
18,lstm,electric_screwdriver,"{'batch_size': 64, 'epochs': 20, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.1, 'threshold': 0.8}, 'data_balancing': ['augment'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 256, 'num_layers': 2, 'dropout': 0.5}",38.983834743499756,True,0.4494,0.0642,0.1429,0.0886
19,lstm,electric_screwdriver,"{'batch_size': 64, 'epochs': 30, 'learning_rate': 0.005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.1, 'temperature': 0.3}, 'data_balancing': ['oversample', 'augment'], 'l1_lambda': 1.0, 'gradient_clip': 5.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 128, 'num_layers': 1, 'dropout': 0.2}",111.73645329475403,True,0.5468,0.5309,0.6274,0.4825
20,lstm,electric_screwdriver,"{'batch_size': 64, 'epochs': 100, 'learning_rate': 0.005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.1, 'temperature': 0.3}, 'data_balancing': ['augment'], 'l1_lambda': 1.0, 'gradient_clip': 5.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 128, 'num_layers': 1, 'dropout': 0.2}",79.55620789527893,True,0.5431,0.2952,0.5147,0.3242
21,lstm,electric_screwdriver,"{'batch_size': 64, 'epochs': 50, 'learning_rate': 0.001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.25, 'temperature': 0.5}, 'data_balancing': ['weighted_sampling'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3}",63.586583375930786,True,0.6217,0.4934,0.5478,0.5002
25,lstm,electric_screwdriver,"{'batch_size': 32, 'epochs': 75, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.25, 'temperature': 0.5}, 'data_balancing': ['oversample', 'augment'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.2}",170.36660623550415,True,0.6929,0.6574,0.7432,0.5648
27,lstm,electric_screwdriver,"{'batch_size': 64, 'epochs': 50, 'learning_rate': 0.001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.25, 'temperature': 0.5}, 'data_balancing': ['focal_loss', 'weighted_sampling'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 256, 'num_layers': 1, 'dropout': 0.4}",65.90636444091797,True,0.1086,0.2256,0.3926,0.2613
28,lstm,electric_screwdriver,"{'batch_size': 32, 'epochs': 75, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.25, 'temperature': 0.5}, 'data_balancing': ['oversample', 'augment'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 256, 'num_layers': 1, 'dropout': 0.4}",168.4506094455719,True,0.7041,0.7176,0.8299,0.7258
29,lstm,electric_screwdriver,"{'batch_size': 128, 'epochs': 30, 'learning_rate': 0.002, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.25, 'temperature': 0.5}, 'data_balancing': ['oversample', 'augment'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 256, 'num_layers': 1, 'dropout': 0.4}",109.77627849578857,True,0.6217,0.5677,0.636,0.564
31,lstm,pneumatic_rivet_gun,"{'batch_size': 16, 'epochs': 30, 'learning_rate': 0.0001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'mean_teacher', 'labelled_ratio': 0.1, 'alpha': 0.99, 'lambda_consistency': 1.0}, 'data_balancing': ['oversample'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",47.86375546455383,True,0.0417,0.0139,0.3333,0.0267
32,lstm,pneumatic_rivet_gun,"{'batch_size': 16, 'epochs': 50, 'learning_rate': 0.0001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'mean_teacher', 'labelled_ratio': 0.1, 'alpha': 0.99, 'lambda_consistency': 1.0}, 'data_balancing': ['weighted_sampling'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",46.12340068817139,True,0.0417,0.0139,0.3333,0.0267
34,lstm,pneumatic_rivet_gun,"{'batch_size': 32, 'epochs': 50, 'learning_rate': 0.0001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.1, 'threshold': 0.8}, 'data_balancing': ['weighted_sampling'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",45.005282402038574,True,0.7083,0.2361,0.3333,0.2764
35,lstm,pneumatic_rivet_gun,"{'batch_size': 16, 'epochs': 30, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.1, 'threshold': 0.8}, 'data_balancing': ['focal_loss'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}, 'focal_loss_gamma': np.float64(2.0)}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",45.83272075653076,True,0.25,0.0833,0.3333,0.1333
36,lstm,pneumatic_rivet_gun,"{'batch_size': 16, 'epochs': 50, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'mean_teacher', 'labelled_ratio': 0.1, 'alpha': 0.99, 'lambda_consistency': 1.0}, 'data_balancing': [], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",49.1678204536438,True,0.0417,0.0139,0.3333,0.0267
37,lstm,pneumatic_rivet_gun,"{'batch_size': 32, 'epochs': 30, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.25, 'threshold': 0.9}, 'data_balancing': ['weighted_sampling'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",50.10695004463196,True,0.7083,0.2361,0.3333,0.2764
38,lstm,pneumatic_rivet_gun,"{'batch_size': 32, 'epochs': 50, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.25, 'threshold': 0.9}, 'data_balancing': ['focal_loss'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}, 'focal_loss_gamma': np.float64(1.0)}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",49.66562795639038,True,0.0833,0.0672,0.3889,0.0883
39,lstm,pneumatic_rivet_gun,"{'batch_size': 16, 'epochs': 30, 'learning_rate': 0.001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'mean_teacher', 'labelled_ratio': 0.1, 'alpha': 0.99, 'lambda_consistency': 1.0}, 'data_balancing': ['oversample'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",48.973443269729614,True,0.0417,0.0139,0.3333,0.0267
40,lstm,pneumatic_rivet_gun,"{'batch_size': 16, 'epochs': 50, 'learning_rate': 0.001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'mean_teacher', 'labelled_ratio': 0.1, 'alpha': 0.99, 'lambda_consistency': 1.0}, 'data_balancing': ['weighted_sampling'], 'l1_lambda': 0.1, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}",45.13500237464905,True,0.0417,0.0139,0.3333,0.0267
42,lstm,pneumatic_rivet_gun,"{'batch_size': 16, 'epochs': 100, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.1, 'threshold': 0.8}, 'data_balancing': ['resample'], 'l1_lambda': 0.1, 'gradient_clip': 5.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 1, 'dropout': 0.2}",48.84249138832092,True,0.5,0.4301,0.6209,0.4365
44,lstm,pneumatic_rivet_gun,"{'batch_size': 64, 'epochs': 100, 'learning_rate': 0.001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.25, 'threshold': 0.9}, 'data_balancing': ['oversample', 'augment'], 'l1_lambda': 0.5, 'gradient_clip': 0.5, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 32, 'num_layers': 2, 'dropout': 0.1}",62.235031604766846,True,0.625,0.5598,0.7157,0.6
46,lstm,pneumatic_rivet_gun,"{'batch_size': 16, 'epochs': 75, 'learning_rate': 0.0005, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'contrastive', 'labelled_ratio': 0.1, 'temperature': 0.3}, 'data_balancing': ['augment'], 'l1_lambda': 0.5, 'gradient_clip': 5.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}}","{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.1}",49.79800462722778,True,0.75,0.5797,0.6667,0.6167
47,lstm,pneumatic_rivet_gun,"{'batch_size': 16, 'epochs': 100, 'learning_rate': 0.001, 'data_ratio': 1, 'semi_supervised': {'active': True, 'strategy': 'pseudo_labeling', 'labelled_ratio': 0.1, 'threshold': 0.8}, 'data_balancing': ['focal_loss'], 'l1_lambda': 0.1, 'gradient_clip': 1.0, 'model_params': {'tcn': {'num_channels': [64, 128, 64], 'kernel_size': 5, 'dropout': 0.3}, 'lstm': {'hidden_size': 32, 'num_layers': 1, 'dropout': 0.1}}, 'focal_loss_gamma': np.float64(1.0)}","{'hidden_size': 128, 'num_layers': 2, 'dropout': 0.2}",48.54043936729431,True,0.25,0.0833,0.3333,0.1333
