Run No.,model,tool,sensor,Data Ratio,data_balancing,semi_supervised,strategy,labelled_ratio,accuracy,macro_precision,macro_recall,macro_f1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_14,f1_25,f1_38,f1_8
403,lstm,electric_screwdriver,all,0.1,oversample,"{""active"": false}",none,1.0,0.3446,0.3206,0.3332,0.2524,0.5714,0.0,0.1887,0.0,0.4706,0.5161,0.02,,,
119,tcn,electric_screwdriver,all,0.1,oversample,"{""active"": false}",none,1.0,0.412,0.4005,0.4929,0.3492,0.2098,0.7719,0.4222,0.0,0.6207,0.3529,0.0667,,,
405,lstm,electric_screwdriver,all,0.25,oversample,"{""active"": false}",none,1.0,0.1798,0.1247,0.2579,0.1404,0.0,0.0,0.3025,0.08,0.2667,0.3333,0.0,,,
120,tcn,electric_screwdriver,all,0.25,oversample,"{""active"": false}",none,1.0,0.4644,0.4543,0.5051,0.3827,0.3924,0.7586,0.45,0.0,0.6207,0.4,0.0571,,,
406,lstm,electric_screwdriver,all,0.5,oversample,"{""active"": false}",none,1.0,0.2322,0.3381,0.3555,0.2894,0.0154,0.7091,0.2985,0.0,0.375,0.6154,0.0122,,,
121,tcn,electric_screwdriver,all,0.5,oversample,"{""active"": false}",none,1.0,0.6105,0.5104,0.5833,0.5041,0.7053,0.6618,0.5773,0.0,0.7826,0.7368,0.0645,,,
407,lstm,electric_screwdriver,all,0.75,oversample,"{""active"": false}",none,1.0,0.3783,0.2731,0.4069,0.2935,0.0,0.7097,0.4163,0.0,0.2857,0.6429,0.0,,,
122,tcn,electric_screwdriver,all,0.75,oversample,"{""active"": false}",none,1.0,0.4195,0.468,0.5445,0.4052,0.1752,0.7521,0.4333,0.0,0.75,0.6667,0.0588,,,
408,lstm,electric_screwdriver,all,1.0,oversample,"{""active"": false}",none,1.0,0.161,0.1477,0.2562,0.1704,0.0,0.1581,0.1791,0.2558,0.0,0.6,0.0,,,
123,tcn,electric_screwdriver,all,1.0,oversample,"{""active"": false}",none,1.0,0.603,0.4952,0.5579,0.4828,0.7281,0.6471,0.4533,0.0,0.75,0.7368,0.0645,,,
409,lstm,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.1, ""strategy"": ""pseudo_labeling""}",pseudo_labeling,0.1,0.4607,0.1554,0.3422,0.2011,0.6727,0.0,0.0,0.0,0.0,0.6875,0.0476,,,
410,lstm,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.25, ""strategy"": ""pseudo_labeling""}",pseudo_labeling,0.25,0.3895,0.2912,0.4295,0.3213,0.0,0.7083,0.4878,0.08,0.4211,0.5517,0.0,,,
411,lstm,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.5, ""strategy"": ""pseudo_labeling""}",pseudo_labeling,0.5,0.3109,0.27,0.4193,0.2887,0.0,0.5311,0.5176,0.1579,0.25,0.5333,0.0312,,,
412,lstm,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.75, ""strategy"": ""pseudo_labeling""}",pseudo_labeling,0.75,0.3034,0.2663,0.3337,0.2718,0.0,0.4653,0.5783,0.0,0.2667,0.5926,0.0,,,
413,lstm,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.1, ""strategy"": ""contrastive""}",contrastive,0.1,0.1124,0.2354,0.4316,0.2266,0.0,0.0,0.0,0.1795,0.7826,0.5882,0.0357,,,
414,lstm,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.25, ""strategy"": ""contrastive""}",contrastive,0.25,0.191,0.1574,0.3169,0.1631,0.0,0.7049,0.0656,0.0,0.0,0.3478,0.0233,,,
415,lstm,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.5, ""strategy"": ""contrastive""}",contrastive,0.5,0.1461,0.2809,0.2863,0.2065,0.0,0.3188,0.4595,0.0,0.2667,0.3902,0.0105,,,
416,lstm,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.75, ""strategy"": ""contrastive""}",contrastive,0.75,0.5169,0.3626,0.3904,0.3571,0.7205,0.0,0.2727,0.24,0.6667,0.6,0.0,,,
417,lstm,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.1, ""strategy"": ""mean_teacher""}",mean_teacher,0.1,0.2584,0.3917,0.4199,0.2801,0.0,0.3796,0.0426,0.0,0.7273,0.7,0.1111,,,
418,lstm,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.25, ""strategy"": ""mean_teacher""}",mean_teacher,0.25,0.2622,0.3573,0.3208,0.185,0.1061,0.5121,0.0816,0.0,0.1429,0.4286,0.0241,,,
419,lstm,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.5, ""strategy"": ""mean_teacher""}",mean_teacher,0.5,0.3483,0.2424,0.3816,0.2483,0.0,0.6829,0.3756,0.0,0.1667,0.5128,0.0,,,
420,lstm,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.75, ""strategy"": ""mean_teacher""}",mean_teacher,0.75,0.3895,0.324,0.5418,0.3789,0.0,0.7287,0.5,0.0,0.75,0.6364,0.037,,,
124,tcn,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.1, ""strategy"": ""pseudo_labeling""}",pseudo_labeling,0.1,0.5468,0.5021,0.5797,0.4756,0.5549,0.6617,0.5649,0.0,0.75,0.7368,0.0606,,,
125,tcn,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.25, ""strategy"": ""pseudo_labeling""}",pseudo_labeling,0.25,0.5206,0.4585,0.5243,0.4053,0.5294,0.6197,0.5781,0.0,0.6429,0.4,0.0667,,,
126,tcn,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.5, ""strategy"": ""pseudo_labeling""}",pseudo_labeling,0.5,0.4082,0.4689,0.539,0.4005,0.1481,0.7154,0.4343,0.0,0.75,0.7,0.0556,,,
127,tcn,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.75, ""strategy"": ""pseudo_labeling""}",pseudo_labeling,0.75,0.4981,0.4009,0.496,0.3956,0.6087,0.566,0.0385,0.0,0.75,0.7368,0.069,,,
128,tcn,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.1, ""strategy"": ""contrastive""}",contrastive,0.1,0.4045,0.4135,0.5063,0.3581,0.146,0.7788,0.4301,0.0,0.6429,0.4444,0.0645,,,
129,tcn,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.25, ""strategy"": ""contrastive""}",contrastive,0.25,0.5056,0.465,0.5552,0.434,0.4663,0.6617,0.5175,0.0,0.6923,0.6316,0.069,,,
130,tcn,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.5, ""strategy"": ""contrastive""}",contrastive,0.5,0.5543,0.3854,0.4659,0.3594,0.7149,0.6569,0.0385,0.0,0.6429,0.4,0.0625,,,
131,tcn,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.75, ""strategy"": ""contrastive""}",contrastive,0.75,0.5131,0.4644,0.5351,0.4111,0.497,0.7213,0.5068,0.0,0.6897,0.4,0.0625,,,
132,tcn,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.1, ""strategy"": ""mean_teacher""}",mean_teacher,0.1,0.3933,0.4211,0.5022,0.3471,0.1194,0.7652,0.4216,0.0,0.6897,0.375,0.0588,,,
133,tcn,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.25, ""strategy"": ""mean_teacher""}",mean_teacher,0.25,0.3109,0.3234,0.4349,0.3162,0.2529,0.4093,0.0,0.0,0.75,0.7368,0.0645,,,
134,tcn,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.5, ""strategy"": ""mean_teacher""}",mean_teacher,0.5,0.3858,0.4129,0.4731,0.3367,0.1972,0.4706,0.5818,0.0,0.6429,0.4,0.0645,,,
135,tcn,electric_screwdriver,all,1.0,oversample,"{""active"": true, ""labelled_ratio"": 0.75, ""strategy"": ""mean_teacher""}",mean_teacher,0.75,0.5281,0.4883,0.5503,0.4455,0.5233,0.7521,0.5034,0.0,0.6923,0.5882,0.0588,,,
422,lstm,electric_screwdriver,acc,1.0,oversample,"{""active"": false}",none,1.0,0.033,0.0158,0.1284,0.027,0.0,0.0,0.0,0.0,0.1538,0.0351,0.0,,,
423,lstm,electric_screwdriver,gyr,1.0,oversample,"{""active"": false}",none,1.0,0.0476,0.0202,0.1861,0.0355,0.0,0.0,0.0,0.0,0.0611,0.1875,0.0,,,
424,lstm,electric_screwdriver,mag,1.0,oversample,"{""active"": false}",none,1.0,0.0667,0.0515,0.1578,0.0614,0.0,0.0,0.2857,0.0,0.1333,0.0,0.0108,,,
425,lstm,electric_screwdriver,mic,1.0,oversample,"{""active"": false}",none,1.0,0.1199,0.2231,0.2987,0.1385,0.0,0.0,0.0,0.1579,0.6452,0.1667,0.0,,,
426,lstm,electric_screwdriver,"acc,gyr",1.0,oversample,"{""active"": false}",none,1.0,0.1722,0.0404,0.2157,0.067,0.0,0.0,0.3636,0.0,0.0,0.1053,0.0,,,
427,lstm,electric_screwdriver,"acc,mag",1.0,oversample,"{""active"": false}",none,1.0,0.0926,0.0687,0.176,0.0584,0.0,0.0,0.04,0.1429,0.0,0.2258,0.0,,,
428,lstm,electric_screwdriver,"acc,mic",1.0,oversample,"{""active"": false}",none,1.0,0.2322,0.0821,0.283,0.1261,0.0,0.3562,0.0,0.0,0.5263,0.0,0.0,,,
429,lstm,electric_screwdriver,"gyr,mag",1.0,oversample,"{""active"": false}",none,1.0,0.0519,0.1832,0.109,0.0456,0.016,0.1081,0.0,0.0,0.1111,0.0839,0.0,,,
430,lstm,electric_screwdriver,"gyr,mic",1.0,oversample,"{""active"": false}",none,1.0,0.2322,0.079,0.283,0.1227,0.0,0.3586,0.0,0.0,0.5,0.0,0.0,,,
431,lstm,electric_screwdriver,"mag,mic",1.0,oversample,"{""active"": false}",none,1.0,0.2322,0.0821,0.283,0.1261,0.0,0.3562,0.0,0.0,0.5263,0.0,0.0,,,
432,lstm,electric_screwdriver,"acc,gyr,mag",1.0,oversample,"{""active"": false}",none,1.0,0.0741,0.0861,0.255,0.088,0.0,0.1379,0.0909,0.0,0.1,0.2623,0.0252,,,
433,lstm,electric_screwdriver,"acc,gyr,mic",1.0,oversample,"{""active"": false}",none,1.0,0.236,0.1057,0.2857,0.1488,0.0,0.3522,0.0,0.0,0.6897,0.0,0.0,,,
434,lstm,electric_screwdriver,"acc,mag,mic",1.0,oversample,"{""active"": false}",none,1.0,0.236,0.0931,0.2857,0.1376,0.0,0.3569,0.0,0.0,0.6061,0.0,0.0,,,
435,lstm,electric_screwdriver,"gyr,mag,mic",1.0,oversample,"{""active"": false}",none,1.0,0.236,0.0931,0.2857,0.1376,0.0,0.3569,0.0,0.0,0.6061,0.0,0.0,,,
436,lstm,electric_screwdriver,"acc,gyr,mag,mic",1.0,oversample,"{""active"": false}",none,1.0,0.2659,0.2808,0.3027,0.1663,0.0615,0.3772,0.1538,0.0,0.5714,0.0,0.0,,,
437,lstm,pneumatic_rivet_gun,acc,1.0,oversample,"{""active"": false}",none,1.0,0.5185,0.1728,0.3333,0.2276,,,,,,0.6829,,0.0,0.0,
438,lstm,pneumatic_rivet_gun,gyr,1.0,oversample,"{""active"": false}",none,1.0,0.4074,0.1528,0.2619,0.193,,,,,,0.5789,,0.0,0.0,
439,lstm,pneumatic_rivet_gun,mag,1.0,oversample,"{""active"": false}",none,1.0,0.68,0.2361,0.3333,0.2764,,,,,,0.8293,,0.0,0.0,
440,lstm,pneumatic_rivet_gun,mic,1.0,oversample,"{""active"": false}",none,1.0,0.625,0.3833,0.3722,0.3587,,,,,,0.7429,,0.0,0.3333,
441,lstm,pneumatic_rivet_gun,"acc,gyr",1.0,oversample,"{""active"": false}",none,1.0,0.1481,0.0494,0.3333,0.086,,,,,,0.0,,0.2581,0.0,
442,lstm,pneumatic_rivet_gun,"acc,mag",1.0,oversample,"{""active"": false}",none,1.0,0.48,0.3556,0.3473,0.3408,,,,,,0.5517,,0.0,0.4706,
443,lstm,pneumatic_rivet_gun,"acc,mic",1.0,oversample,"{""active"": false}",none,1.0,0.3333,0.1111,0.3333,0.1667,,,,,,0.0,,0.0,0.5,
444,lstm,pneumatic_rivet_gun,"gyr,mag",1.0,oversample,"{""active"": false}",none,1.0,0.48,0.3968,0.4034,0.3267,,,,,,0.5,,0.0,0.48,
445,lstm,pneumatic_rivet_gun,"gyr,mic",1.0,oversample,"{""active"": false}",none,1.0,0.3333,0.1111,0.3333,0.1667,,,,,,0.0,,0.0,0.5,
446,lstm,pneumatic_rivet_gun,"mag,mic",1.0,oversample,"{""active"": false}",none,1.0,0.3333,0.1111,0.3333,0.1667,,,,,,0.0,,0.0,0.5,
447,lstm,pneumatic_rivet_gun,"acc,gyr,mag",1.0,oversample,"{""active"": false}",none,1.0,0.28,0.0933,0.3333,0.1458,,,,,,0.0,,0.0,0.4375,
448,lstm,pneumatic_rivet_gun,"acc,gyr,mic",1.0,oversample,"{""active"": false}",none,1.0,0.3333,0.1111,0.3333,0.1667,,,,,,0.0,,0.0,0.5,
449,lstm,pneumatic_rivet_gun,"acc,mag,mic",1.0,oversample,"{""active"": false}",none,1.0,0.3333,0.1111,0.3333,0.1667,,,,,,0.0,,0.0,0.5,
450,lstm,pneumatic_rivet_gun,"gyr,mag,mic",1.0,oversample,"{""active"": false}",none,1.0,0.3333,0.1111,0.3333,0.1667,,,,,,0.0,,0.0,0.5,
451,lstm,pneumatic_rivet_gun,"acc,gyr,mag,mic",1.0,oversample,"{""active"": false}",none,1.0,0.625,0.2083,0.3333,0.2564,,,,,,0.7692,,0.0,0.0,
