Run No.,model,tool,sensor,data_balancing,semi_supervised,strategy,labelled_ratio,accuracy,macro_precision,macro_recall,macro_f1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_14,f1_38,f1_25
355,lstm,electric_screwdriver,['all'],oversample,False,none,1.0,0.3783,0.5322,0.5296,0.406,0.1212,0.7294,0.4396,0.3684,0.6667,0.4762,0.0408,,
83,tcn,electric_screwdriver,['all'],oversample,False,none,1.0,0.633,0.6012,0.7185,0.5919,0.6243,0.8348,0.5547,0.3243,0.7826,0.7368,0.2857,,
356,lstm,pneumatic_screwdriver,['all'],oversample,False,none,1.0,0.4648,0.3791,0.3232,0.2644,0.6026,0.1818,0.2667,0.0,,0.8,0.0,0.0,
84,tcn,pneumatic_screwdriver,['all'],oversample,False,none,1.0,0.3803,0.3822,0.3313,0.2539,0.4167,0.5,0.3636,0.0,,0.1538,0.0,0.3429,
357,lstm,pneumatic_rivet_gun,['all'],oversample,False,none,1.0,0.2917,0.3516,0.5056,0.2751,,,,,,0.3636,,0.3077,0.1538
85,tcn,pneumatic_rivet_gun,['all'],oversample,False,none,1.0,0.4167,0.5463,0.6694,0.3913,,,,,,0.2353,,0.5385,0.4
358,lstm,electric_screwdriver,['all'],focal_loss,False,none,1.0,0.3558,0.2495,0.4077,0.2841,0.0,0.6772,0.396,0.0,0.5625,0.3529,0.0,,
359,lstm,electric_screwdriver,['all'],oversample,False,none,1.0,0.3333,0.3587,0.4829,0.353,0.0,0.4907,0.5263,0.0,0.75,0.6667,0.037,,
360,lstm,electric_screwdriver,['all'],augment,False,none,1.0,0.367,0.4939,0.547,0.359,0.0625,0.6838,0.6612,0.0,0.6667,0.4,0.0388,,
361,lstm,electric_screwdriver,['all'],resample,False,none,1.0,0.4419,0.4408,0.5297,0.3746,0.2128,0.6581,0.5873,0.0667,0.6667,0.375,0.0556,,
362,lstm,electric_screwdriver,['all'],weighted_sampling,False,none,1.0,0.4345,0.5265,0.5922,0.3722,0.163,0.7258,0.5389,0.0625,0.6897,0.3077,0.1176,,
86,tcn,electric_screwdriver,['all'],focal_loss,False,none,1.0,0.6854,0.5793,0.6316,0.5601,0.7547,0.8036,0.6372,0.3902,0.6923,0.5,0.1429,,
87,tcn,electric_screwdriver,['all'],oversample,False,none,1.0,0.5356,0.6003,0.7123,0.5611,0.4,0.8,0.5,0.4583,0.7826,0.7368,0.25,,
88,tcn,electric_screwdriver,['all'],augment,False,none,1.0,0.6704,0.565,0.6407,0.5704,0.7035,0.8305,0.6333,0.3256,0.6667,0.6667,0.1667,,
89,tcn,electric_screwdriver,['all'],resample,False,none,1.0,0.4644,0.573,0.682,0.516,0.2585,0.6957,0.4809,0.4074,0.7826,0.7368,0.25,,
90,tcn,electric_screwdriver,['all'],weighted_sampling,False,none,1.0,0.6292,0.5349,0.5805,0.516,0.7339,0.8167,0.2034,0.1961,0.7826,0.7368,0.1429,,
363,lstm,electric_screwdriver,['all'],oversample,True,contrastive,0.1,0.4082,0.4901,0.5891,0.4004,0.2238,0.7423,0.4181,0.3125,0.6452,0.3529,0.1081,,
364,lstm,electric_screwdriver,['all'],oversample,True,contrastive,0.25,0.3521,0.416,0.5434,0.346,0.5023,0.0,0.1852,0.3654,0.72,0.5882,0.0606,,
365,lstm,electric_screwdriver,['all'],oversample,True,contrastive,0.5,0.3783,0.4137,0.4891,0.3232,0.4,0.5,0.1667,0.05,0.6897,0.3077,0.1481,,
366,lstm,electric_screwdriver,['all'],oversample,True,contrastive,1.0,0.4007,0.4048,0.5507,0.4072,0.0,0.5419,0.5906,0.2414,0.7143,0.4286,0.3333,,
367,lstm,electric_screwdriver,['all'],oversample,True,pseudo_label,0.1,0.4232,0.5276,0.5875,0.3839,0.1212,0.7826,0.5732,0.08,0.6667,0.4,0.0635,,
368,lstm,electric_screwdriver,['all'],oversample,True,mean_teacher,0.1,0.3483,0.3797,0.5419,0.3305,0.427,0.0,0.4946,0.2657,0.6923,0.2857,0.1481,,
369,lstm,electric_screwdriver,['all'],oversample,True,mean_teacher,0.25,0.382,0.339,0.4599,0.3592,0.0,0.6833,0.4144,0.0,0.75,0.6667,0.0,,
370,lstm,electric_screwdriver,['all'],oversample,True,mean_teacher,0.5,0.412,0.3323,0.4416,0.2847,0.0,0.6625,0.4973,0.0,0.6667,0.1667,0.0,,
91,tcn,electric_screwdriver,['all'],oversample,True,contrastive,0.1,0.2846,0.4354,0.5212,0.3307,0.1176,0.037,0.4467,0.1818,0.72,0.5263,0.2857,,
92,tcn,electric_screwdriver,['all'],oversample,True,contrastive,0.25,0.4082,0.5183,0.6498,0.4745,0.1528,0.6341,0.4632,0.339,0.7826,0.7,0.25,,
93,tcn,electric_screwdriver,['all'],oversample,True,contrastive,0.5,0.4719,0.4086,0.5147,0.4242,0.5161,0.649,0.0,0.1311,0.7826,0.7368,0.1538,,
94,tcn,electric_screwdriver,['all'],oversample,True,contrastive,1.0,0.6667,0.5359,0.6066,0.5255,0.7317,0.8281,0.6182,0.0588,0.72,0.5882,0.1333,,
95,tcn,electric_screwdriver,['all'],oversample,True,pseudo_label,0.1,0.5468,0.5903,0.7045,0.5553,0.4551,0.7917,0.5062,0.4615,0.72,0.6667,0.2857,,
96,tcn,electric_screwdriver,['all'],oversample,True,mean_teacher,0.1,0.6592,0.5377,0.5855,0.5324,0.7667,0.8103,0.4324,0.2667,0.6667,0.6667,0.1176,,
97,tcn,electric_screwdriver,['all'],oversample,True,mean_teacher,0.25,0.3296,0.4945,0.5883,0.3844,0.1529,0.1071,0.4767,0.2812,0.7826,0.7,0.1905,,
98,tcn,electric_screwdriver,['all'],oversample,True,mean_teacher,0.5,0.6292,0.5805,0.6353,0.5565,0.6349,0.8276,0.5672,0.3243,0.75,0.6667,0.125,,
371,lstm,electric_screwdriver,['acc'],none,False,none,1.0,0.2344,0.3442,0.3318,0.187,0.1778,0.0,0.3243,0.0833,0.0,0.64,0.0833,,
372,lstm,electric_screwdriver,['gyr'],none,False,none,1.0,0.1282,0.283,0.3675,0.1716,0.0336,0.0,0.0,0.1776,0.0,0.8421,0.1481,,
373,lstm,electric_screwdriver,['mag'],none,False,none,1.0,0.5407,0.4412,0.4049,0.3847,0.75,0.0741,0.1194,0.4681,0.3846,0.8966,0.0,,
374,lstm,electric_screwdriver,['mic'],none,False,none,1.0,0.5393,0.5755,0.6705,0.4996,0.4277,0.7966,0.5931,0.1714,0.7692,0.625,0.1143,,
375,lstm,pneumatic_screwdriver,['acc'],none,False,none,1.0,0.1806,0.1827,0.3176,0.1651,0.1176,0.1154,0.1212,0.0,,0.2564,0.0833,0.4615,
376,lstm,pneumatic_screwdriver,['gyr'],none,False,none,1.0,0.1667,0.2563,0.3497,0.2029,0.0,0.12,0.125,0.1739,,0.8696,0.0,0.1316,
377,lstm,pneumatic_screwdriver,['mag'],none,False,none,1.0,0.1871,0.1026,0.3571,0.1545,0.0,0.0,0.0,0.0,,0.3158,0.1569,0.6087,
378,lstm,pneumatic_screwdriver,['mic'],none,False,none,1.0,0.169,0.1464,0.25,0.1552,0.0,0.0,0.0968,0.1176,,0.8718,0.0,0.0,
